action_type|buid|view_source|action|value_1|value_2
1|29|94|micrositetag|[blank]|
1|29|99|micrositetag|[blank]|
1|29|307|micrositetag|[blank]|
1|29|503|micrositetag|[blank]|
1|29|504|micrositetag|[blank]|
1|29|505|micrositetag|[blank]|
1|29|506|micrositetag|[blank]|
1|29|507|micrositetag|[blank]|
1|29|508|micrositetag|[blank]|
1|29|509|micrositetag|[blank]|
1|29|510|micrositetag|[blank]|
1|29|511|micrositetag|[blank]|
1|29|512|micrositetag|[blank]|
1|29|539|micrositetag|[blank]|
1|29|540|micrositetag|[blank]|
1|29|541|micrositetag|[blank]|
1|29|542|micrositetag|[blank]|
1|29|543|micrositetag|[blank]|
1|29|544|micrositetag|[blank]|
1|29|545|micrositetag|[blank]|
1|29|546|micrositetag|[blank]|
1|29|547|micrositetag|[blank]|
1|29|548|micrositetag|[blank]|
1|29|549|micrositetag|[blank]|
1|29|550|micrositetag|[blank]|
1|29|616|micrositetag|[blank]|
1|29|1604|micrositetag|[blank]|
1|29|1611|micrositetag|[blank]|
1|29|1612|micrositetag|[blank]|
1|29|1613|micrositetag|[blank]|
1|32|0|microsite|http://emc.jobs/[Unique_ID]/job/|
1|32|10|micrositetag|[blank]|
1|32|11|micrositetag|[blank]|
1|32|78|micrositetag|[blank]|
1|32|86|micrositetag|[blank]|
1|32|88|micrositetag|[blank]|
1|32|89|micrositetag|[blank]|
1|32|90|micrositetag|[blank]|
1|32|91|micrositetag|[blank]|
1|32|92|micrositetag|[blank]|
1|32|93|micrositetag|[blank]|
1|32|94|micrositetag|[blank]|
1|32|99|micrositetag|[blank]|
1|32|307|micrositetag|[blank]|
1|32|500|microsite|http://emc.jobs/[Unique_ID]/job/|
1|32|503|micrositetag|[blank]|
1|32|504|micrositetag|[blank]|
1|32|505|micrositetag|[blank]|
1|32|506|micrositetag|[blank]|
1|32|507|micrositetag|[blank]|
1|32|508|micrositetag|[blank]|
1|32|509|micrositetag|[blank]|
1|32|510|micrositetag|[blank]|
1|32|511|micrositetag|[blank]|
1|32|512|micrositetag|[blank]|
1|32|539|micrositetag|[blank]|
1|32|540|micrositetag|[blank]|
1|32|541|micrositetag|[blank]|
1|32|542|micrositetag|[blank]|
1|32|543|micrositetag|[blank]|
1|32|544|micrositetag|[blank]|
1|32|545|micrositetag|[blank]|
1|32|546|micrositetag|[blank]|
1|32|547|micrositetag|[blank]|
1|32|548|micrositetag|[blank]|
1|32|549|micrositetag|[blank]|
1|32|550|micrositetag|[blank]|
1|32|616|micrositetag|[blank]|
1|32|1604|micrositetag|[blank]|
1|32|1611|micrositetag|[blank]|
1|32|1612|micrositetag|[blank]|
1|32|1613|micrositetag|[blank]|
1|36|0|microsite|http://newellrubbermaid.jobs/[Unique_ID]/job/|
1|36|10|micrositetag|[blank]|
1|36|11|micrositetag|[blank]|
1|36|78|micrositetag|[blank]|
1|36|86|micrositetag|[blank]|
1|36|88|micrositetag|[blank]|
1|36|89|micrositetag|[blank]|
1|36|90|micrositetag|[blank]|
1|36|91|micrositetag|[blank]|
1|36|92|micrositetag|[blank]|
1|36|93|micrositetag|[blank]|
1|36|94|micrositetag|[blank]|
1|36|99|micrositetag|[blank]|
1|36|307|micrositetag|[blank]|
1|36|503|micrositetag|[blank]|
1|36|504|micrositetag|[blank]|
1|36|505|micrositetag|[blank]|
1|36|506|micrositetag|[blank]|
1|36|507|micrositetag|[blank]|
1|36|508|micrositetag|[blank]|
1|36|509|micrositetag|[blank]|
1|36|510|micrositetag|[blank]|
1|36|511|micrositetag|[blank]|
1|36|512|micrositetag|[blank]|
1|36|539|micrositetag|[blank]|
1|36|540|micrositetag|[blank]|
1|36|541|micrositetag|[blank]|
1|36|542|micrositetag|[blank]|
1|36|543|micrositetag|[blank]|
1|36|544|micrositetag|[blank]|
1|36|545|micrositetag|[blank]|
1|36|546|micrositetag|[blank]|
1|36|547|micrositetag|[blank]|
1|36|548|micrositetag|[blank]|
